"Story","Title","Result","Date","Stability","Duration (s)"
"Delete a comment","Delete a comment with valid id","SUCCESS","2023-01-20T15:10:41.361+07:00[Asia/Bangkok]","0.0","9.73"
"Delete a comment","Delete a comment without authentication","SUCCESS","2023-01-20T15:10:52.449+07:00[Asia/Bangkok]","0.0","0.44"
"Delete a comment","Delete a comment with invalid path","SUCCESS","2023-01-20T15:10:53.891+07:00[Asia/Bangkok]","0.0","1.45"
"Get all comments","Get all comments with valid project id","SUCCESS","2023-01-20T15:10:55.373+07:00[Asia/Bangkok]","0.0","4.17"
"Get all comments","Get all comments with invalid project id","SUCCESS","2023-01-20T15:10:59.589+07:00[Asia/Bangkok]","0.0","0.89"
"Get all comments","Get all comments without project id","SUCCESS","2023-01-20T15:11:00.502+07:00[Asia/Bangkok]","0.0","0.84"
"Get all comments","Get all comments without authentication","SUCCESS","2023-01-20T15:11:01.373+07:00[Asia/Bangkok]","0.0","0.82"
"Get all comments","Get all comments with invalid path","SUCCESS","2023-01-20T15:11:02.219+07:00[Asia/Bangkok]","0.0","0.82"
"Get a comment","Get a comment with valid parameter","SUCCESS","2023-01-20T15:11:03.111+07:00[Asia/Bangkok]","0.0","1.06"
"Get a comment","Get a comment with invalid parameter","SUCCESS","2023-01-20T15:11:04.191+07:00[Asia/Bangkok]","0.0","0.36"
"Get a comment","Get a comment without parameter","SUCCESS","2023-01-20T15:11:04.565+07:00[Asia/Bangkok]","0.0","0.35"
"Get a comment","Get a comment without authentication","SUCCESS","2023-01-20T15:11:04.942+07:00[Asia/Bangkok]","0.0","0.86"
"Get a comment","Get a comments with invalid path","SUCCESS","2023-01-20T15:11:05.813+07:00[Asia/Bangkok]","0.0","0.86"
"Create new comment","Post create new comment with valid json","SUCCESS","2023-01-20T15:11:06.78+07:00[Asia/Bangkok]","0.0","1.36"
"Create new comment","Post create new comment with invalid path","SUCCESS","2023-01-20T15:11:08.262+07:00[Asia/Bangkok]","0.0","1.1"
"Create new comment","Post create new comment without authentication","SUCCESS","2023-01-20T15:11:09.375+07:00[Asia/Bangkok]","0.0","0.8"
"Create new comment","Post create new comment with empty json key","SUCCESS","2023-01-20T15:11:10.193+07:00[Asia/Bangkok]","0.0","0.85"
"Create new comment","Post create new comment with invalid json","SUCCESS","2023-01-20T15:11:11.064+07:00[Asia/Bangkok]","0.0","0.36"
"Update a comment","Update a comment with valid id","SUCCESS","2023-01-20T15:11:11.458+07:00[Asia/Bangkok]","0.0","0.91"
"Update a comment","Update a comment with invalid id","SUCCESS","2023-01-20T15:11:12.385+07:00[Asia/Bangkok]","0.0","0.79"
"Update a comment","Update a comment without authentication","SUCCESS","2023-01-20T15:11:13.186+07:00[Asia/Bangkok]","0.0","0.34"
"Update a comment","Update a comment with invalid json","SUCCESS","2023-01-20T15:11:13.536+07:00[Asia/Bangkok]","0.0","0.35"
"Update a comment","Update a comment with empty json key","SUCCESS","2023-01-20T15:11:13.902+07:00[Asia/Bangkok]","0.0","0.38"
"Update a comment","Update a comment with invalid path","SUCCESS","2023-01-20T15:11:14.293+07:00[Asia/Bangkok]","0.0","0.37"
"Testing Todoist API for Create New User Endpoint","Create a new label with invalid json","SUCCESS","2023-01-20T15:11:15.16+07:00[Asia/Bangkok]","0.0","0.49"
"Testing Todoist API for Create New User Endpoint","Create a new label with empty name","SUCCESS","2023-01-20T15:11:15.67+07:00[Asia/Bangkok]","0.0","0.79"
"Testing Todoist API for Create New User Endpoint","Create a new label with invalid token","SUCCESS","2023-01-20T15:11:16.474+07:00[Asia/Bangkok]","0.0","0.82"
"Testing todoist API for Delete a Label endpoint","Delete a label with valid id","SUCCESS","2023-01-20T15:11:17.31+07:00[Asia/Bangkok]","0.0","0.41"
"Testing todoist API for Delete a Label endpoint","Delete a label with unauthorized token","SUCCESS","2023-01-20T15:11:18.578+07:00[Asia/Bangkok]","0.0","0.82"
"Testing Todoist API for Get a Label endpoint","Get a label with valid id","SUCCESS","2023-01-20T15:11:19.422+07:00[Asia/Bangkok]","0.0","0.79"
"Testing Todoist API for Get a Label endpoint","Get a label with invalid id","SUCCESS","2023-01-20T15:11:20.223+07:00[Asia/Bangkok]","0.0","0.33"
"Testing Todoist API for Get a Label endpoint","Get a label with unauthorized token","SUCCESS","2023-01-20T15:11:20.571+07:00[Asia/Bangkok]","0.0","0.36"
"Testing Todoist API for Get All Label endpoint","Get all labels with valid token","SUCCESS","2023-01-20T15:11:20.966+07:00[Asia/Bangkok]","0.0","0.87"
"Testing Todoist API for Get All Label endpoint","Get all labels with unauthorized token","SUCCESS","2023-01-20T15:11:21.847+07:00[Asia/Bangkok]","0.0","0.81"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with valid token","SUCCESS","2023-01-20T15:11:22.682+07:00[Asia/Bangkok]","0.0","0.91"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with unauthorized token","SUCCESS","2023-01-20T15:11:23.604+07:00[Asia/Bangkok]","0.0","0.83"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with valid label","SUCCESS","2023-01-20T15:11:24.457+07:00[Asia/Bangkok]","0.0","0.39"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with unauthorized token","SUCCESS","2023-01-20T15:11:25.244+07:00[Asia/Bangkok]","0.0","0.83"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with valid label","SUCCESS","2023-01-20T15:11:26.093+07:00[Asia/Bangkok]","0.0","0.81"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with invalid token","SUCCESS","2023-01-20T15:11:27.327+07:00[Asia/Bangkok]","0.0","0.46"
